"","X337A.Coronation.Dr..Milton.QLD.4064..Australia","X33.Park.Rd..Milton.QLD.4064..Australia","X40.52.McDougall.St..Milton.QLD.4064..Australia","X401.Milton.Rd..Auchenflower.QLD.4066..Australia","X141.Campbell.St..Bowen.Hills.QLD.4006..Australia"
"33 North St, Spring Hill QLD 4000, Australia",3458,2980,2793,4092,3874
"171 McCullough St, Sunnybank QLD 4109, Australia",16022,15761,15855,16934,18588
"137 Flockton St, Everton Park QLD 4053, Australia",14746,14268,14081,12532,11742
"Specialist Medical Centre, Suite 508/6 N Lakes Dr, North Lakes QLD 4509, Australia",38279,37801,28572,29872,30588
"451 Coronation Dr, Auchenflower QLD 4066, Australia",889,1226,1433,826,5751
