"","rooms","lon","lat"
"1","339 Coronation Drive, QLD 4064",153.0030767,-27.4744533
"2","33 Park Road,  QLD 4064",153.0046058,-27.4712231
"3","Kings Row Office Park, QLD 4064",153.006664,-27.4714018
"4","RiverCity Private Hospital, QLD 4066",152.9950649,-27.4733507
"5","141 Campbell St, QLD 4006",153.0307629,-27.4460618
