"","X337A.Coronation.Dr..Milton.QLD.4064..Australia","X33.Park.Rd..Milton.QLD.4064..Australia","X40.52.McDougall.St..Milton.QLD.4064..Australia","X401.Milton.Rd..Auchenflower.QLD.4066..Australia","X141.Campbell.St..Bowen.Hills.QLD.4006..Australia"
"33 North St, Spring Hill QLD 4000, Australia",12.5,9.8,9.6,12.5,7.6
"171 McCullough St, Sunnybank QLD 4109, Australia",25.3,24.6,24.8,28.5,26.2
"137 Flockton St, Everton Park QLD 4053, Australia",25.8,23.1,23,26.7,20.5
"Specialist Medical Centre, Suite 508/6 N Lakes Dr, North Lakes QLD 4509, Australia",36.7,34.5,37.4,40.4,37.8
"451 Coronation Dr, Auchenflower QLD 4066, Australia",3.6,4.4,5.3,4,14
